rating,year,title_length,rating_count,lifespan_in_movielens,genres
2.8155555555555556,1998.0,25.0,225,308731530,Musical
2.7777777777777777,2010.0,19.0,9,95111465,Comedy|Drama
2.5,2017.0,9.0,1,0,Horror
2.0789473684210527,2015.0,7.0,19,70082118,Drama|Horror|Mystery|Thriller
2.5,2016.0,10.0,1,0,Horror
3.0,2013.0,52.0,5,114831555,Documentary
3.361111111111111,2017.0,12.0,18,31596282,Comedy
2.78125,1971.0,11.0,32,225453326,Comedy|Crime|Drama
3.3333333333333335,1966.0,19.0,3,67337873,Western
2.5,1965.0,18.0,1,0,Drama|Western
2.9727272727272727,2008.0,8.0,55,226951391,Comedy|Drama
3.75,2014.0,34.0,2,5414833,Drama
3.108108108108108,2008.0,5.0,74,257738481,Animation
2.4375,2012.0,23.0,8,103345731,Documentary
2.625,1917.0,7.0,4,91290174,Comedy|Western
4.5,2016.0,11.0,1,0,Documentary
3.720125786163522,2014.0,3.0,318,119872290,Action|Drama|Thriller|War
2.625,1974.0,11.0,4,30511091,Action|Thriller
3.053719008264463,2004.0,32.0,121,171161680,Action|Adventure|Comedy|Documentary|Fantasy
1.9,1975.0,39.0,5,91001829,Drama|Thriller
5.0,2010.0,32.0,1,0,Drama
4.0,1985.0,31.0,3,23623852,Drama
2.2916666666666665,1934.0,24.0,24,189844992,Western
3.0,1941.0,17.0,1,0,Action
2.6964285714285716,2001.0,7.0,28,217885218,Crime|Drama
3.6273584905660377,1986.0,15.0,212,339487929,Drama|Musical
3.1346153846153846,2004.0,12.0,182,219702656,Drama|Horror|Mystery|Thriller
2.875,2013.0,23.0,4,67645603,Documentary
2.8542039355992843,1997.0,18.0,559,704781734,Drama|Romance
2.7916666666666665,2015.0,24.0,12,84441471,Romance
2.0,2001.0,15.0,3,41255549,Children
3.263157894736842,1974.0,32.0,19,159893214,Animation|Children|Fantasy
3.114900314795383,1989.0,11.0,3812,636512292,Comedy
3.4523809523809526,1986.0,13.0,378,594447798,Drama
